cod.munic;latitude;longitude
1100015;-11.929;-61.996
1100023;-9.913;-63.041
1100031;-13.492;-60.545
1100049;-11.438;-61.448
1100056;-13.189;-60.812
1100064;-13.117;-60.542
1100072;-12.962;-60.887
1100080;-12.445;-64.227
1100098;-11.525;-61.013
1100106;-10.783;-65.339
1100114;-10.439;-62.466
1100122;-10.882;-61.944
1100130;-9.444;-61.981
1100148;-11.725;-62.331
1100155;-10.716;-62.248
1100189;-11.673;-61.193
1100205;-8.762;-63.904
1100254;-11.176;-61.901
1100262;-9.705;-62.9
1100288;-11.733;-61.778
1100296;-11.902;-61.779
1100304;-12.741;-60.146
1100320;-11.681;-62.684
1100338;-10.411;-65.331
1100346;-11.408;-62.389
1100379;-12.128;-61.851
1100403;-9.713;-63.321
1100452;-10.212;-63.829
1100502;-11.71;-62
1100601;-10.34;-62.896
1100700;-10.571;-63.627
1100809;-8.791;-63.701
1100908;-11.427;-61.95
1100924;-12.552;-60.9
1100940;-9.363;-62.585
1101005;-10.61;-62.737
1101104;-9.205;-63.18
1101203;-11.196;-61.517
1101302;-11.03;-62.675
1101401;-10.246;-63.29
1101435;-10.904;-62.561
1101450;-12.175;-61.603
1101468;-13.483;-61.047
1101476;-11.828;-61.321
1101484;-11.903;-61.502
1101492;-12.062;-63.569
1101500;-11.798;-63.031
1101559;-10.918;-62.249
1101609;-10.244;-62.355
1101708;-11.125;-62.376
1101757;-9.863;-62.186
1101807;-10.449;-62.134
1200013;-9.828;-66.883
1200054;-10.941;-69.567
1200104;-11.01;-68.748
1200138;-9.831;-67.952
1200179;-10.573;-67.676
1200203;-7.631;-72.67
1200252;-11.029;-68.741
1200302;-8.164;-70.354
1200328;-9.434;-71.884
1200336;-7.614;-72.896
1200344;-8.839;-69.26
1200351;-8.941;-72.792
1200385;-10.335;-67.184
1200393;-8.269;-72.744
1200401;-9.975;-67.81
1200427;-7.742;-72.647
1200435;-9.433;-70.493
1200450;-10.151;-67.736
1200500;-9.066;-68.657
1200609;-8.161;-70.766
1200708;-10.652;-68.504
1200807;-9.588;-67.533
1300029;-3.221;-64.804
1300060;-3.364;-68.198
1300086;-3.58;-61.404
1300102;-3.773;-61.644
1300144;-7.197;-59.891
1300201;-4.372;-70.192
1300300;-3.58;-59.131
1300409;-0.975;-62.924
1300508;-2.793;-57.07
1300607;-4.383;-70.031
1300631;-3.898;-61.373
1300680;-2.97;-57.59
1300706;-8.752;-67.398
1300805;-4.388;-59.594
1300839;-3.328;-61.209
1300904;-6.534;-64.383
1301001;-4.883;-66.896
1301100;-3.768;-60.369
1301159;-3.221;-59.826
1301209;-4.085;-63.141
1301308;-3.837;-62.057
1301407;-6.66;-69.874
1301506;-7.433;-70.023
1301605;-2.514;-66.092
1301654;-7.546;-72.584
1301704;-7.506;-63.021
1301803;-7.051;-71.695
1301852;-3.285;-60.186
1301902;-3.143;-58.444
1301951;-6.425;-68.253
1302009;-2.749;-58.022
1302108;-1.826;-66.599
1302207;-3.481;-66.069
1302306;-2.747;-66.767
1302405;-7.259;-64.798
1302504;-3.3;-60.621
1302553;-3.428;-60.459
1302603;-3.102;-60.025
1302702;-5.809;-61.3
1302801;-1.856;-65.581
1302900;-3.384;-57.719
1303007;-2.186;-56.713
1303106;-3.888;-59.094
1303205;-2.621;-60.944
1303304;-5.121;-60.38
1303403;-2.628;-56.736
1303502;-7.714;-66.976
1303536;-2.034;-60.025
1303569;-2.699;-59.7
1303601;-0.414;-65.019
1303700;-3.102;-67.94
1303809;-0.13;-67.089
1303908;-3.378;-68.873
1303957;-2.572;-57.871
1304005;-2.839;-58.209
1304062;-4.253;-69.938
