cod.ibge;cod.tse;ano;uf.sigla;munic;cod.ibge7
110001;310;2002;RO;ALTA FLORESTA DO OESTE;1100015
110001;310;2010;RO;ALTA FLORESTA DO OESTE;1100015
110001;310;1998;RO;ALTA FLORESTA DO OESTE;1100015
110001;310;2006;RO;ALTA FLORESTA DO OESTE;1100015
110002;78;2006;RO;ARIQUEMES;1100023
110002;78;2002;RO;ARIQUEMES;1100023
110002;78;1998;RO;ARIQUEMES;1100023
110002;78;2010;RO;ARIQUEMES;1100023
110003;450;2002;RO;CABIXI;1100031
110003;450;1998;RO;CABIXI;1100031
110003;450;2010;RO;CABIXI;1100031
110003;450;2006;RO;CABIXI;1100031
110004;94;2002;RO;CACOAL;1100049
110004;94;2006;RO;CACOAL;1100049
110004;94;2010;RO;CACOAL;1100049
110004;94;1998;RO;CACOAL;1100049
110005;272;2010;RO;CEREJEIRAS;1100056
110005;272;2006;RO;CEREJEIRAS;1100056
110005;272;1998;RO;CEREJEIRAS;1100056
110005;272;2002;RO;CEREJEIRAS;1100056
110006;230;2002;RO;COLORADO DO OESTE;1100064
110006;230;2010;RO;COLORADO DO OESTE;1100064
110006;230;2006;RO;COLORADO DO OESTE;1100064
110006;230;1998;RO;COLORADO DO OESTE;1100064
110007;655;2006;RO;CORUMBIARA;1100072
110007;655;1998;RO;CORUMBIARA;1100072
110007;655;2002;RO;CORUMBIARA;1100072
110007;655;2010;RO;CORUMBIARA;1100072
110008;213;2010;RO;COSTA MARQUES;1100080
110008;213;1998;RO;COSTA MARQUES;1100080
110008;213;2006;RO;COSTA MARQUES;1100080
110008;213;2002;RO;COSTA MARQUES;1100080
110009;256;2002;RO;ESPIGAO D'OESTE;1100098
110009;256;2010;RO;ESPIGÃO DO OESTE;1100098
110009;256;1998;RO;ESPIGAO D'OESTE;1100098
110009;256;2006;RO;ESPIGÃO DO OESTE;1100098
110010;19;2002;RO;GUAJARA MIRIM;1100106
110010;19;1998;RO;GUAJARA MIRIM;1100106
110010;19;2010;RO;GUAJARÁ-MIRIM;1100106
110010;19;2006;RO;GUAJARÁ-MIRIM;1100106
110011;159;2006;RO;JARU;1100114
110011;159;2002;RO;JARU;1100114
